課程代碼,課程名稱,教師,時間,教室
ED010A,教育議題專題,楊慶麟,2-56,全人南棟415
ED040A,學校行政,林世倡,4-34,全人南棟415
ED040A,學校行政,楊慶麟,4-34,全人南棟415
ED070A,教育哲學,楊慶麟,1-56,全人南棟415
ED074A,班級經營,林世倡,3-78,全人南棟415
ED084A,輔導原理與實務,黎欣怡,1-78,全人南棟415
ED115A,性別教育,鄭慈蓉,1-CD,全人南棟415
ED116A,補救教學,楊坤原,2-34,全人南棟415
ED131A,教學媒體與應用,簡志峰,5-34,全人南棟405
ED132A,國文教學實習,簡君玲,4-CD,全人南棟618
ED133A,英文教學實習,林俊閎,2-78,全人南棟415
ED134A,數學教學實習,林世倡,3-DE,全人南棟618
ED135A,輔導教學實習,黎欣怡,3-12,全人南棟415
ED136A,生物教學實習,楊坤原,1-56,全人南棟418
ED139A,學校行政實習,林世倡,4-B,全人南棟415
ED139A,學校行政實習,楊慶麟,4-B,全人南棟415
ED140A,班級經營實踐,林世倡,3-C,全人南棟415
ED141A,補救教學實踐,黃博欽,2-B,全人南棟415
ED142A,適性教學策略與實踐,林俊閎,4-78,全人南棟415
ED150A,物理教學實習,林欣達,2-DE,全人南棟418
ED151A,資訊科技教學實習,薛秀琳,1-56,全人南棟417
GQ101A,宗教哲學,潘秋郎,1-34,教學615
GQ101B,宗教哲學,潘秋郎,1-56,教學615
GQ101C,宗教哲學,潘秋郎,1-78,教學615
GQ101D,宗教哲學,曾祖漢,1-78,教學801
GQ101E,宗教哲學,戴伶珊,4-12,教學801
GQ101F,宗教哲學,戴伶珊,4-34,教學801
GQ101G,宗教哲學,蘇信行,5-34,教學801
GQ101H,宗教哲學,康克,5-34,教學617
GQ101I,宗教哲學,馬育慧,2-78,教學109
GQ101J,宗教哲學,馬育慧,3-78,教學109
GQ101K,宗教哲學,馬育慧,5-56,教學109
GQ101L,宗教哲學,高天圓,4-CD,教學601
GQ101M,宗教哲學,陳康芬,3-CD,教學601
GQ101N,宗教哲學,錢玉舜,4-78,教學601
GQ101P,宗教哲學,吳昶興,4-56,教學109
GQ101Q,宗教哲學,吳昶興,2-56,教學601
GQ101R,宗教哲學,吳昶興,2-78,教學601
GQ101S,宗教哲學,康克,5-12,教學617
GQ101T,宗教哲學,林顯泉,5-12,教學601
GQ101U,宗教哲學,林顯泉,5-34,教學601
GQ101V,宗教哲學,林顯泉,5-56,教學601
GQ101X,宗教哲學,李信毅,2-78,懷恩205
GQ101Y,宗教哲學,鄭偉光,3-56,教學601
GQ101Z,宗教哲學,鄭偉光,3-78,教學601
GQ201A,人生哲學,趙念慈,3-12,教學302
GQ201B,人生哲學,趙念慈,3-56,教學302
GQ201D,人生哲學,邱冠喬,2-12,教學801
GQ201E,人生哲學,劉佩琳,1-EF,教學602
